category,subcategory,concept,prompt,seed,filename,resolution,color_count,lint_overall,verdict,notes
floor_wall_texture,worn_floor,worn_floor_scuff,"subtly scuffed stone floor tile, small sprite, pixel art",0,worn_floor_scuff_s0.png,24x24,17,FAIL,fail,
floor_wall_texture,worn_floor,worn_floor_scuff,"subtly scuffed stone floor tile, small sprite, pixel art",1,worn_floor_scuff_s1.png,24x24,9,FAIL,fail,
floor_wall_texture,worn_floor,worn_floor_scuff,"subtly scuffed stone floor tile, small sprite, pixel art",2,worn_floor_scuff_s2.png,24x24,4,FAIL,fail,
floor_wall_texture,worn_floor,worn_floor_scuff,"subtly scuffed stone floor tile, small sprite, pixel art",3,worn_floor_scuff_s3.png,24x24,10,FAIL,fail,
floor_wall_texture,worn_floor,worn_floor_scuff,"subtly scuffed stone floor tile, small sprite, pixel art",42,worn_floor_scuff_s42.png,24x24,11,FAIL,fail,
floor_wall_texture,worn_floor,worn_floor_scuff,"subtly scuffed stone floor tile, small sprite, pixel art",137,worn_floor_scuff_s137.png,24x24,13,FAIL,fail,
floor_wall_texture,worn_floor,worn_floor_scuff,"subtly scuffed stone floor tile, small sprite, pixel art",999,worn_floor_scuff_s999.png,24x24,14,FAIL,fail,
floor_wall_texture,worn_floor,worn_floor_scuff,"subtly scuffed stone floor tile, small sprite, pixel art",1337,worn_floor_scuff_s1337.png,24x24,9,FAIL,fail,
floor_wall_texture,worn_floor,worn_floor_scuff,"subtly scuffed stone floor tile, small sprite, pixel art",7,worn_floor_scuff_s7.png,24x24,17,FAIL,fail,
floor_wall_texture,worn_floor,worn_floor_scuff,"subtly scuffed stone floor tile, small sprite, pixel art",21,worn_floor_scuff_s21.png,24x24,6,FAIL,fail,
floor_wall_texture,worn_floor,worn_floor_crack,"subtly worn stone floor tile with a hairline crack, small sprite, pixel art",0,worn_floor_crack_s0.png,24x24,8,FAIL,fail,
floor_wall_texture,worn_floor,worn_floor_crack,"subtly worn stone floor tile with a hairline crack, small sprite, pixel art",1,worn_floor_crack_s1.png,24x24,10,FAIL,fail,
floor_wall_texture,worn_floor,worn_floor_crack,"subtly worn stone floor tile with a hairline crack, small sprite, pixel art",2,worn_floor_crack_s2.png,24x24,5,FAIL,fail,
floor_wall_texture,worn_floor,worn_floor_crack,"subtly worn stone floor tile with a hairline crack, small sprite, pixel art",3,worn_floor_crack_s3.png,24x24,7,FAIL,fail,
floor_wall_texture,worn_floor,worn_floor_crack,"subtly worn stone floor tile with a hairline crack, small sprite, pixel art",42,worn_floor_crack_s42.png,24x24,10,FAIL,fail,
