category,subcategory,concept,prompt,seed,filename,resolution,color_count,lint_overall,verdict,notes
prop_variety,rocks_rubble,small_rock,"small stone rock, small sprite, pixel art",0,small_rock_s0.png,24x24,21,FAIL,fail,
prop_variety,rocks_rubble,small_rock,"small stone rock, small sprite, pixel art",1,small_rock_s1.png,24x24,20,FAIL,fail,
prop_variety,rocks_rubble,small_rock,"small stone rock, small sprite, pixel art",2,small_rock_s2.png,24x24,16,FAIL,fail,
prop_variety,rocks_rubble,small_rock,"small stone rock, small sprite, pixel art",3,small_rock_s3.png,24x24,16,FAIL,fail,
prop_variety,rocks_rubble,small_rock,"small stone rock, small sprite, pixel art",42,small_rock_s42.png,24x24,11,FAIL,fail,
prop_variety,rocks_rubble,small_rock,"small stone rock, small sprite, pixel art",137,small_rock_s137.png,24x24,13,FAIL,fail,
prop_variety,rocks_rubble,small_rock,"small stone rock, small sprite, pixel art",999,small_rock_s999.png,24x24,25,FAIL,fail,
prop_variety,rocks_rubble,small_rock,"small stone rock, small sprite, pixel art",1337,small_rock_s1337.png,24x24,12,FAIL,fail,
prop_variety,rocks_rubble,rubble_pile,"pile of broken stone rubble, small sprite, pixel art",0,rubble_pile_s0.png,24x24,18,FAIL,fail,
prop_variety,rocks_rubble,rubble_pile,"pile of broken stone rubble, small sprite, pixel art",1,rubble_pile_s1.png,24x24,19,FAIL,fail,
prop_variety,rocks_rubble,rubble_pile,"pile of broken stone rubble, small sprite, pixel art",2,rubble_pile_s2.png,24x24,14,FAIL,fail,
prop_variety,rocks_rubble,rubble_pile,"pile of broken stone rubble, small sprite, pixel art",3,rubble_pile_s3.png,24x24,6,FAIL,fail,
prop_variety,rocks_rubble,rubble_pile,"pile of broken stone rubble, small sprite, pixel art",42,rubble_pile_s42.png,24x24,11,FAIL,fail,
prop_variety,rocks_rubble,rubble_pile,"pile of broken stone rubble, small sprite, pixel art",137,rubble_pile_s137.png,24x24,9,FAIL,fail,
prop_variety,rocks_rubble,rubble_pile,"pile of broken stone rubble, small sprite, pixel art",999,rubble_pile_s999.png,24x24,21,FAIL,fail,
prop_variety,rocks_rubble,rubble_pile,"pile of broken stone rubble, small sprite, pixel art",1337,rubble_pile_s1337.png,24x24,16,FAIL,fail,
prop_variety,rocks_rubble,boulder_fragment,"boulder fragment, small sprite, pixel art",0,boulder_fragment_s0.png,24x24,6,FAIL,fail,
prop_variety,rocks_rubble,boulder_fragment,"boulder fragment, small sprite, pixel art",1,boulder_fragment_s1.png,24x24,20,FAIL,fail,
prop_variety,rocks_rubble,boulder_fragment,"boulder fragment, small sprite, pixel art",2,boulder_fragment_s2.png,24x24,12,FAIL,fail,
prop_variety,rocks_rubble,boulder_fragment,"boulder fragment, small sprite, pixel art",3,boulder_fragment_s3.png,24x24,22,FAIL,fail,
prop_variety,rocks_rubble,boulder_fragment,"boulder fragment, small sprite, pixel art",42,boulder_fragment_s42.png,24x24,14,FAIL,fail,
prop_variety,rocks_rubble,boulder_fragment,"boulder fragment, small sprite, pixel art",137,boulder_fragment_s137.png,24x24,11,FAIL,fail,
prop_variety,rocks_rubble,boulder_fragment,"boulder fragment, small sprite, pixel art",999,boulder_fragment_s999.png,24x24,16,FAIL,fail,
prop_variety,rocks_rubble,boulder_fragment,"boulder fragment, small sprite, pixel art",1337,boulder_fragment_s1337.png,24x24,9,FAIL,fail,
prop_variety,rocks_rubble,cracked_stone_chunk,"cracked stone chunk, small sprite, pixel art",0,cracked_stone_chunk_s0.png,24x24,20,FAIL,fail,
prop_variety,rocks_rubble,cracked_stone_chunk,"cracked stone chunk, small sprite, pixel art",1,cracked_stone_chunk_s1.png,24x24,18,FAIL,fail,
prop_variety,rocks_rubble,cracked_stone_chunk,"cracked stone chunk, small sprite, pixel art",2,cracked_stone_chunk_s2.png,24x24,14,FAIL,fail,
prop_variety,rocks_rubble,cracked_stone_chunk,"cracked stone chunk, small sprite, pixel art",3,cracked_stone_chunk_s3.png,24x24,16,FAIL,fail,
prop_variety,rocks_rubble,cracked_stone_chunk,"cracked stone chunk, small sprite, pixel art",42,cracked_stone_chunk_s42.png,24x24,10,FAIL,fail,
prop_variety,rocks_rubble,cracked_stone_chunk,"cracked stone chunk, small sprite, pixel art",137,cracked_stone_chunk_s137.png,24x24,15,FAIL,fail,
prop_variety,rocks_rubble,cracked_stone_chunk,"cracked stone chunk, small sprite, pixel art",999,cracked_stone_chunk_s999.png,24x24,14,FAIL,fail,
