file,class,speckle,small_clusters,color_regions,edge_density
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_100.png,world_24x24,9,11,16,0.4276
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1000.png,world_24x24,6,17,22,0.2928
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1001.png,world_24x24,2,11,15,0.1932
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1002.png,world_24x24,7,17,23,0.3115
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1003.png,world_24x24,8,19,24,0.3059
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1004.png,world_24x24,2,11,15,0.1932
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1005.png,world_24x24,6,16,22,0.3007
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1006.png,world_24x24,10,18,21,0.2029
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1007.png,world_24x24,13,24,26,0.2452
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1008.png,world_24x24,12,21,24,0.2332
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1009.png,world_24x24,7,16,19,0.2059
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1010.png,world_24x24,16,16,17,0.0909
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1011.png,world_24x24,11,11,12,0.0673
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1012.png,world_24x24,7,10,14,0.1549
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1013.png,world_24x24,9,10,14,0.1358
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1014.png,world_24x24,17,24,27,0.2171
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1015.png,world_24x24,8,17,21,0.2455
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1016.png,world_24x24,10,19,23,0.2575
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_102.png,world_24x24,20,57,86,0.8814
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1028.png,world_24x24,14,17,26,0.5608
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1029.png,world_24x24,14,17,26,0.5608
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_103.png,world_24x24,20,49,74,0.8947
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1030.png,world_24x24,14,17,26,0.5608
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1031.png,world_24x24,5,20,32,0.4878
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1032.png,world_24x24,7,23,37,0.625
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1033.png,world_24x24,1,7,14,0.2222
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1034.png,world_24x24,8,15,31,0.5747
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1035.png,world_24x24,7,12,20,0.6765
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1036.png,world_24x24,7,7,18,0.4253
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1037.png,world_24x24,14,17,27,0.6354
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1038.png,world_24x24,19,20,30,0.6267
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1039.png,world_24x24,7,12,22,0.5486
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_104.png,world_24x24,40,80,96,0.8849
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1040.png,world_24x24,23,30,43,0.6458
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1041.png,world_24x24,21,31,39,0.5903
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1042.png,world_24x24,14,15,23,0.4358
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1043.png,world_24x24,14,17,26,0.599
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1044.png,world_24x24,9,10,17,0.4167
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1045.png,world_24x24,15,15,23,0.4062
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1046.png,world_24x24,7,8,17,0.5382
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_1047.png,world_24x24,12,16,25,0.5191
