path,game_key,asset_class,treatment,stages_run,colors_before,colors_after,lint_before_overall,lint_after_overall,final_status,triage,notes
src/Presentation/assets/sprites_16bf/items_16x16/oryx_16bit_fantasy_items_4001.png,club,item,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",15,15,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""WARN"", ""A5"": ""WARN"", ""A6"": ""FAIL"", ""A4_color_count"": 15, ""A5_near_color_pairs"": 3, ""A6_outline_fraction"": 0.5714}"
src/Presentation/assets/sprites_16bf/items_16x16/oryx_16bit_fantasy_items_4002.png,,item,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",8,8,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""PASS"", ""A5"": ""PASS"", ""A6"": ""FAIL"", ""A4_color_count"": 8, ""A5_near_color_pairs"": 2, ""A6_outline_fraction"": 0.3571}"
src/Presentation/assets/sprites_16bf/items_16x16/oryx_16bit_fantasy_items_4003.png,,item,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",21,21,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""WARN"", ""A5"": ""WARN"", ""A6"": ""FAIL"", ""A4_color_count"": 21, ""A5_near_color_pairs"": 5, ""A6_outline_fraction"": 0.1765}"
src/Presentation/assets/sprites_16bf/items_16x16/oryx_16bit_fantasy_items_4004.png,,item,fresh_pipeline,"clean:no-op(0 partial-alpha at baseline, verified);snap:applied fresh",10,10,FAIL,FAIL,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""PASS"", ""A5"": ""WARN"", ""A6"": ""FAIL"", ""A4_color_count"": 10, ""A5_near_color_pairs"": 5, ""A6_outline_fraction"": 0.7742}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_3001.png,floor_worn,decal,tier3_skip_expected,none,,,,FAIL (not attempted),nonconformant,redesign,Known Tier-3 per spec; not run through pipeline.
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5001.png,Anvil,prop,staged_1to1,phase2_staged(clean+snap already applied in commit 2b7c2e9); re-verified here,10,10,FAIL,WARN,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""WARN"", ""A5"": ""PASS"", ""A6"": ""PASS"", ""A4_color_count"": 10, ""A5_near_color_pairs"": 0, ""A6_outline_fraction"": 0.96}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5002.png,Armor Stand,prop,staged_1to1,phase2_staged(clean+snap already applied in commit 2b7c2e9); re-verified here,7,7,FAIL,PASS,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""PASS"", ""A5"": ""PASS"", ""A6"": ""PASS"", ""A4_color_count"": 7, ""A5_near_color_pairs"": 0, ""A6_outline_fraction"": 1.0}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5005.png,Bucket,prop,staged_1to1,phase2_staged(clean+snap already applied in commit 2b7c2e9); re-verified here,7,7,FAIL,PASS,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""PASS"", ""A5"": ""PASS"", ""A6"": ""PASS"", ""A4_color_count"": 7, ""A5_near_color_pairs"": 0, ""A6_outline_fraction"": 0.875}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5007.png,Chain,prop,staged_1to1,phase2_staged(clean+snap already applied in commit 2b7c2e9); re-verified here,4,4,FAIL,PASS,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""PASS"", ""A5"": ""PASS"", ""A6"": ""PASS"", ""A4_color_count"": 4, ""A5_near_color_pairs"": 0, ""A6_outline_fraction"": 0.973}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5008.png,Coal Pile,decal,staged_1to1,phase2_staged(clean+snap already applied in commit 2b7c2e9); re-verified here,5,5,FAIL,WARN,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""PASS"", ""A5"": ""WARN"", ""A6"": ""EXEMPT"", ""A4_color_count"": 5, ""A5_near_color_pairs"": 4, ""A6_outline_fraction"": """"}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5010.png,Drain,decal,staged_1to1,phase2_staged(clean+snap already applied in commit 2b7c2e9); re-verified here,5,5,FAIL,PASS,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""PASS"", ""A5"": ""PASS"", ""A6"": ""EXEMPT"", ""A4_color_count"": 5, ""A5_near_color_pairs"": 1, ""A6_outline_fraction"": """"}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5011.png,Forge,prop,staged_1to1,phase2_staged(clean+snap already applied in commit 2b7c2e9); re-verified here,9,9,FAIL,WARN,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""WARN"", ""A5"": ""PASS"", ""A6"": ""PASS"", ""A4_color_count"": 9, ""A5_near_color_pairs"": 0, ""A6_outline_fraction"": 0.9355}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5012.png,Globe,prop,staged_1to1,phase2_staged(clean+snap already applied in commit 2b7c2e9); re-verified here,9,9,FAIL,WARN,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""WARN"", ""A5"": ""PASS"", ""A6"": ""PASS"", ""A4_color_count"": 9, ""A5_near_color_pairs"": 0, ""A6_outline_fraction"": 1.0}"
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5014.png,Grate,decal,staged_1to1,phase2_staged(clean+snap already applied in commit 2b7c2e9); re-verified here,5,5,FAIL,PASS,PENDING,,"{""A1"": ""PASS"", ""A2"": ""PASS"", ""A3"": ""PASS"", ""A4"": ""PASS"", ""A5"": ""PASS"", ""A6"": ""EXEMPT"", ""A4_color_count"": 5, ""A5_near_color_pairs"": 1, ""A6_outline_fraction"": """"}"
