path,asset_class,colors_before,merges_applied,merge_log,final_colors,final_overall,stop_reason,outcome
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5062.png,prop,22,5,"[{""step"": 1, ""merged_from"": [114, 114, 114], ""merged_into"": [107, 107, 107], ""dist"": 12.12, ""colors_remaining"": 14, ""A5_after"": 1, ""A6_after"": 0.3929}, {""step"": 2, ""merged_from"": [179, 135, 95], ""merged_into"": [181, 119, 91], ""dist"": 16.61, ""colors_remaining"": 13, ""A5_after"": 0, ""A6_after"": 0.3929}, {""step"": 3, ""merged_from"": [112, 106, 87], ""merged_into"": [107, 107, 107], ""dist"": 20.64, ""colors_remaining"": 12, ""A5_after"": 0, ""A6_after"": 0.3929}, {""step"": 4, ""merged_from"": [152, 145, 122], ""merged_into"": [172, 157, 118], ""dist"": 23.66, ""colors_remaining"": 11, ""A5_after"": 0, ""A6_after"": 0.3929}, {""step"": 5, ""merged_from"": [113, 92, 67], ""merged_into"": [111, 69, 59], ""dist"": 24.43, ""colors_remaining"": 10, ""A5_after"": 0, ""A6_after"": 0.3929}]",10,WARN,reached class ceiling,landed
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5063.png,prop,24,8,"[{""step"": 1, ""merged_from"": [123, 74, 59], ""merged_into"": [111, 69, 59], ""dist"": 13.0, ""colors_remaining"": 18, ""A5_after"": 1, ""A6_after"": 0.1194}, {""step"": 2, ""merged_from"": [91, 65, 45], ""merged_into"": [85, 53, 45], ""dist"": 13.42, ""colors_remaining"": 17, ""A5_after"": 0, ""A6_after"": 0.1194}, {""step"": 3, ""merged_from"": [199, 163, 129], ""merged_into"": [213, 161, 145], ""dist"": 21.35, ""colors_remaining"": 16, ""A5_after"": 0, ""A6_after"": 0.1194}, {""step"": 4, ""merged_from"": [67, 45, 36], ""merged_into"": [85, 53, 45], ""dist"": 21.66, ""colors_remaining"": 15, ""A5_after"": 0, ""A6_after"": 0.0}, {""step"": 5, ""merged_from"": [146, 110, 77], ""merged_into"": [128, 96, 56], ""dist"": 31.0, ""colors_remaining"": 14, ""A5_after"": 0, ""A6_after"": 0.0}, {""step"": 6, ""merged_from"": [128, 96, 56], ""merged_into"": [111, 69, 59], ""dist"": 32.05, ""colors_remaining"": 13, ""A5_after"": 0, ""A6_after"": 0.0}, {""step"": 7, ""merged_from"": [162, 149, 101], ""merged_into"": [179, 170, 119], ""dist"": 32.47, ""colors_remaining"": 12, ""A5_after"": 0, ""A6_after"": 0.0}, {""step"": 8, ""merged_from"": [206, 141, 120], ""merged_into"": [213, 161, 145], ""dist"": 32.77, ""colors_remaining"": 11, ""A5_after"": 0, ""A6_after"": 0.0}]",11,FAIL,exceeded 8 merges — redesign wearing a retouch tag,triaged
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5089.png,prop,19,6,"[{""step"": 1, ""merged_from"": [54, 72, 88], ""merged_into"": [49, 64, 86], ""dist"": 9.64, ""colors_remaining"": 15, ""A5_after"": 0, ""A6_after"": 0.0143}, {""step"": 2, ""merged_from"": [148, 101, 51], ""merged_into"": [128, 96, 56], ""dist"": 21.21, ""colors_remaining"": 14, ""A5_after"": 0, ""A6_after"": 0.0143}, {""step"": 3, ""merged_from"": [146, 110, 77], ""merged_into"": [166, 116, 70], ""dist"": 22.02, ""colors_remaining"": 13, ""A5_after"": 0, ""A6_after"": 0.0143}, {""step"": 4, ""merged_from"": [97, 50, 38], ""merged_into"": [75, 47, 40], ""dist"": 22.29, ""colors_remaining"": 12, ""A5_after"": 0, ""A6_after"": 0.0143}, {""step"": 5, ""merged_from"": [181, 119, 91], ""merged_into"": [166, 116, 70], ""dist"": 25.98, ""colors_remaining"": 11, ""A5_after"": 0, ""A6_after"": 0.0143}, {""step"": 6, ""merged_from"": [50, 50, 50], ""merged_into"": [75, 47, 40], ""dist"": 27.09, ""colors_remaining"": 10, ""A5_after"": 0, ""A6_after"": 0.0}]",10,WARN,reached class ceiling,landed
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5090.png,prop,16,5,"[{""step"": 1, ""merged_from"": [92, 92, 92], ""merged_into"": [97, 96, 96], ""dist"": 7.55, ""colors_remaining"": 14, ""A5_after"": 3, ""A6_after"": 0.1008}, {""step"": 2, ""merged_from"": [160, 160, 160], ""merged_into"": [165, 165, 165], ""dist"": 8.66, ""colors_remaining"": 13, ""A5_after"": 1, ""A6_after"": 0.1008}, {""step"": 3, ""merged_from"": [75, 47, 40], ""merged_into"": [67, 45, 36], ""dist"": 9.17, ""colors_remaining"": 12, ""A5_after"": 0, ""A6_after"": 0.1429}, {""step"": 4, ""merged_from"": [112, 106, 87], ""merged_into"": [97, 96, 96], ""dist"": 20.15, ""colors_remaining"": 11, ""A5_after"": 0, ""A6_after"": 0.1429}, {""step"": 5, ""merged_from"": [165, 165, 165], ""merged_into"": [149, 149, 149], ""dist"": 27.71, ""colors_remaining"": 10, ""A5_after"": 0, ""A6_after"": 0.1429}]",10,WARN,reached class ceiling,landed
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5088.png,prop,21,7,"[{""step"": 1, ""merged_from"": [67, 45, 36], ""merged_into"": [75, 47, 40], ""dist"": 9.17, ""colors_remaining"": 16, ""A5_after"": 2, ""A6_after"": 0.02}, {""step"": 2, ""merged_from"": [121, 85, 55], ""merged_into"": [123, 74, 59], ""dist"": 11.87, ""colors_remaining"": 15, ""A5_after"": 1, ""A6_after"": 0.02}, {""step"": 3, ""merged_from"": [196, 188, 204], ""merged_into"": [205, 202, 199], ""dist"": 17.38, ""colors_remaining"": 14, ""A5_after"": 0, ""A6_after"": 0.02}, {""step"": 4, ""merged_from"": [129, 129, 129], ""merged_into"": [142, 142, 142], ""dist"": 22.52, ""colors_remaining"": 13, ""A5_after"": 0, ""A6_after"": 0.02}, {""step"": 5, ""merged_from"": [123, 74, 59], ""merged_into"": [104, 72, 40], ""dist"": 26.94, ""colors_remaining"": 12, ""A5_after"": 0, ""A6_after"": 0.02}, {""step"": 6, ""merged_from"": [185, 185, 185], ""merged_into"": [205, 202, 199], ""dist"": 29.75, ""colors_remaining"": 11, ""A5_after"": 0, ""A6_after"": 0.02}, {""step"": 7, ""merged_from"": [166, 116, 70], ""merged_into"": [148, 101, 51], ""dist"": 30.17, ""colors_remaining"": 10, ""A5_after"": 0, ""A6_after"": 0.02}]",10,WARN,reached class ceiling,landed
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5100.png,prop,23,5,"[{""step"": 1, ""merged_from"": [125, 146, 161], ""merged_into"": [124, 148, 164], ""dist"": 3.74, ""colors_remaining"": 14, ""A5_after"": 1, ""A6_after"": 0.3901}, {""step"": 2, ""merged_from"": [117, 138, 157], ""merged_into"": [124, 148, 164], ""dist"": 14.07, ""colors_remaining"": 13, ""A5_after"": 0, ""A6_after"": 0.3901}, {""step"": 3, ""merged_from"": [194, 139, 87], ""merged_into"": [181, 119, 91], ""dist"": 24.19, ""colors_remaining"": 12, ""A5_after"": 0, ""A6_after"": 0.3901}, {""step"": 4, ""merged_from"": [166, 139, 91], ""merged_into"": [181, 119, 91], ""dist"": 25.0, ""colors_remaining"": 11, ""A5_after"": 0, ""A6_after"": 0.3901}, {""step"": 5, ""merged_from"": [56, 83, 84], ""merged_into"": [73, 104, 105], ""dist"": 34.22, ""colors_remaining"": 10, ""A5_after"": 0, ""A6_after"": 0.3901}]",10,WARN,reached class ceiling,landed
src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5010.png,decal,15,5,"[{""step"": 1, ""merged_from"": [28, 41, 42], ""merged_into"": [39, 39, 39], ""dist"": 11.58, ""colors_remaining"": 14, ""A5_after"": 4, ""A6_after"": """"}, {""step"": 2, ""merged_from"": [66, 61, 41], ""merged_into"": [56, 54, 44], ""dist"": 12.57, ""colors_remaining"": 13, ""A5_after"": 1, ""A6_after"": """"}, {""step"": 3, ""merged_from"": [109, 77, 50], ""merged_into"": [111, 89, 57], ""dist"": 14.04, ""colors_remaining"": 12, ""A5_after"": 0, ""A6_after"": """"}, {""step"": 4, ""merged_from"": [75, 47, 40], ""merged_into"": [56, 54, 44], ""dist"": 20.64, ""colors_remaining"": 11, ""A5_after"": 0, ""A6_after"": """"}, {""step"": 5, ""merged_from"": [27, 27, 27], ""merged_into"": [39, 39, 39], ""dist"": 20.78, ""colors_remaining"": 10, ""A5_after"": 0, ""A6_after"": """"}]",10,WARN,reached class ceiling,landed
src/Presentation/assets/sprites_16bf/items_16x16/oryx_16bit_fantasy_items_4001.png,item,15,0,[],15,FAIL,"A5/A6 already failing pre-merge (A5=WARN, A6=FAIL) — deep-collapse not attempted",triaged
src/Presentation/assets/sprites_16bf/items_16x16/oryx_16bit_fantasy_items_4002.png,item,8,0,[],8,FAIL,"A5/A6 already failing pre-merge (A5=PASS, A6=FAIL) — deep-collapse not attempted",triaged
src/Presentation/assets/sprites_16bf/items_16x16/oryx_16bit_fantasy_items_4004.png,item,10,0,[],10,FAIL,"A5/A6 already failing pre-merge (A5=WARN, A6=FAIL) — deep-collapse not attempted",triaged
