concept,tag,seed,prompt,status,overall,colors,A5,A6,collapse_merges,final_path
club,club_s0,0,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,14,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s0_snapped.png
club,club_s1,1,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,9,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s1_snapped.png
club,club_s2,2,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,10,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s2_snapped.png
club,club_s3,3,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,10,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s3_snapped.png
club,club_s4,4,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,10,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s4_snapped.png
club,club_s5,5,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,6,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s5_snapped.png
club,club_s6,6,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,10,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s6_snapped.png
club,club_s7,7,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,14,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s7_snapped.png
club,club_s8,8,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,18,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s8_snapped.png
club,club_s9,9,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,9,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s9_snapped.png
club,club_s10,10,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,12,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s10_snapped.png
club,club_s11,11,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,12,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s11_snapped.png
club,club_s12,12,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,15,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s12_snapped.png
club,club_s13,13,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,18,WARN,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s13_snapped.png
club,club_s14,14,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,12,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s14_snapped.png
club,club_s15,15,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,5,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s15_snapped.png
club,club_s16,16,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,12,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s16_snapped.png
club,club_s17,17,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,10,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s17_snapped.png
club,club_s18,18,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,10,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s18_snapped.png
club,club_s19,19,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,10,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s19_snapped.png
club,club_s20,20,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,10,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s20_snapped.png
club,club_s21,21,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,9,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s21_snapped.png
club,club_s22,22,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,12,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s22_snapped.png
club,club_s23,23,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,12,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s23_snapped.png
club,club_s24,24,"wooden club weapon, thick knobbed end tapering to a handle",ok,FAIL,7,PASS,FAIL,0,tools/art_lint/candidates/burndown2b/club/club_s24_snapped.png
anvil,anvil_s0,0,"blacksmith anvil with horn, heavy iron block",ok,WARN,10,PASS,PASS,3,tools/art_lint/candidates/burndown2b/anvil/anvil_s0_snapped.png
anvil,anvil_s1,1,"blacksmith anvil with horn, heavy iron block",ok,FAIL,26,FAIL,WARN,0,tools/art_lint/candidates/burndown2b/anvil/anvil_s1_snapped.png
anvil,anvil_s2,2,"blacksmith anvil with horn, heavy iron block",ok,FAIL,18,FAIL,WARN,0,tools/art_lint/candidates/burndown2b/anvil/anvil_s2_snapped.png
anvil,anvil_s3,3,"blacksmith anvil with horn, heavy iron block",ok,WARN,10,PASS,WARN,4,tools/art_lint/candidates/burndown2b/anvil/anvil_s3_snapped.png
anvil,anvil_s4,4,"blacksmith anvil with horn, heavy iron block",ok,WARN,10,PASS,PASS,1,tools/art_lint/candidates/burndown2b/anvil/anvil_s4_snapped.png
