rank,id,class,game_key,conformance_status,route,speckle,speckle_verdict,small_clusters,small_clusters_verdict,color_regions,color_regions_verdict,edge_density,edge_density_verdict,deviation_score,worst_metric,fineness_verdict,path
1,5010,world_24x24,Drain,conformant,deep_collapse,154,WARN,194,WARN,209,WARN,0.9888,ADVISORY,9.582,speckle,WARN,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5010.png
2,5001,world_24x24,Anvil,accepted,,104,WARN,153,WARN,157,WARN,0.9921,ADVISORY,7.037,speckle,WARN,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5001.png
3,5108,world_24x24,mushroom_cluster,conformant,deep_collapse,93,WARN,149,WARN,169,WARN,0.9599,ADVISORY,6.871,small_clusters,WARN,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5108.png
4,5008,world_24x24,Coal Pile,conformant,,98,WARN,136,WARN,139,WARN,1.0,ADVISORY,6.38,speckle,WARN,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5008.png
5,5074,world_24x24,mural_gold_warm,conformant,pixellab_bank,79,WARN,122,WARN,133,WARN,0.9533,ADVISORY,5.622,small_clusters,WARN,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5074.png
6,5014,world_24x24,Grate,conformant,,79,WARN,116,WARN,132,WARN,0.9889,ADVISORY,5.512,speckle,WARN,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5014.png
7,5092,world_24x24,straw_pile,conformant,,77,WARN,108,WARN,119,WARN,0.9643,ADVISORY,5.162,speckle,WARN,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5092.png
8,5007,world_24x24,Chain,conformant,,74,WARN,105,WARN,108,WARN,0.9818,ADVISORY,4.895,speckle,WARN,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5007.png
9,5070,world_24x24,mural_wood_cool,conformant,pixellab_bank,62,WARN,99,WARN,115,WARN,0.9694,ADVISORY,4.606,small_clusters,WARN,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5070.png
10,5078,world_24x24,rubble,conformant,,71,WARN,94,WARN,103,WARN,0.9891,ADVISORY,4.58,speckle,WARN,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5078.png
11,5091,world_24x24,straw_pile,conformant,,56,WARN,102,WARN,113,WARN,0.9746,ADVISORY,4.485,small_clusters,WARN,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5091.png
12,5086,world_24x24,vine,conformant,,67,WARN,90,WARN,92,WARN,0.9928,ADVISORY,4.274,speckle,WARN,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5086.png
13,5016,world_24x24,Moss,conformant,,64,WARN,90,WARN,95,WARN,0.9939,ADVISORY,4.242,speckle,WARN,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5016.png
14,5012,world_24x24,Globe,conformant,pixellab_regen,63,WARN,79,WARN,86,WARN,0.9869,ADVISORY,3.921,speckle,WARN,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5012.png
15,5102,world_24x24,sack,conformant,,57,WARN,79,WARN,86,WARN,0.9711,ADVISORY,3.778,speckle,WARN,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5102.png
16,5079,world_24x24,rubble,conformant,,48,WARN,81,WARN,98,WARN,0.9343,ADVISORY,3.756,color_regions,WARN,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5079.png
17,5058,world_24x24,bed,conformant,,52,WARN,76,WARN,86,WARN,0.9102,ADVISORY,3.611,speckle,WARN,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5058.png
18,5071,world_24x24,mural_gold_warm,conformant,pixellab_bank,45,WARN,78,WARN,89,WARN,0.8879,ADVISORY,3.516,small_clusters,WARN,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5071.png
19,5060,world_24x24,bench,conformant,,47,WARN,79,WARN,84,WARN,0.973,ADVISORY,3.513,small_clusters,WARN,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5060.png
20,5061,world_24x24,bench,conformant,,45,WARN,75,WARN,84,WARN,1.0,ADVISORY,3.401,small_clusters,WARN,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5061.png
21,5059,world_24x24,bed,conformant,,37,PASS,66,WARN,77,WARN,0.9574,ADVISORY,2.972,small_clusters,WARN,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5059.png
22,5075,world_24x24,mural_gold_landscape,conformant,pixellab_bank,41,PASS,58,PASS,68,PASS,0.9041,ADVISORY,2.818,speckle,PASS,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5075.png
23,5062,world_24x24,desk,conformant,deep_collapse,29,PASS,58,PASS,74,PASS,0.969,ADVISORY,2.613,color_regions,PASS,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5062.png
24,5105,world_24x24,rock,conformant,bank_palette_locked,38,PASS,54,PASS,59,PASS,0.8253,ADVISORY,2.562,speckle,PASS,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5105.png
25,5011,world_24x24,Forge,conformant,pixellab_regen,25,PASS,59,PASS,73,PASS,0.9722,ADVISORY,2.52,color_regions,PASS,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5011.png
26,5064,world_24x24,desk,conformant,,27,PASS,60,PASS,67,PASS,0.9714,ADVISORY,2.504,small_clusters,PASS,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5064.png
27,5085,world_24x24,water_barrel,conformant,pixellab_regen_locked,33,PASS,49,PASS,58,PASS,0.8756,ADVISORY,2.349,small_clusters,PASS,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5085.png
28,5077,world_24x24,sign,conformant,,33,PASS,48,PASS,56,PASS,0.98,ADVISORY,2.307,speckle,PASS,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5077.png
29,5106,world_24x24,nightstand,conformant,,24,PASS,51,PASS,65,PASS,1.0,ADVISORY,2.261,color_regions,PASS,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5106.png
30,5082,world_24x24,workbench,conformant,pixellab_regen,32,PASS,46,PASS,56,PASS,0.9644,ADVISORY,2.251,speckle,PASS,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5082.png
31,5094,world_24x24,pillar,conformant,pixellab_regen,26,PASS,51,PASS,57,PASS,0.9655,ADVISORY,2.202,small_clusters,PASS,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5094.png
32,5080,world_24x24,candelabra,conformant,pixellab_regen_locked,27,PASS,47,PASS,57,PASS,0.8954,ADVISORY,2.161,color_regions,PASS,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5080.png
33,5005,world_24x24,Bucket,conformant,canon_substitution,12,PASS,57,PASS,71,PASS,0.9037,ADVISORY,2.152,color_regions,PASS,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5005.png
34,5110,world_24x24,puddle,conformant,,30,PASS,43,PASS,52,PASS,0.8947,ADVISORY,2.101,speckle,PASS,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5110.png
